"mu","theta","sigma","genotype"
-6.80074212460097,0.799504145216123,0.732540624012463,"wt"
-6.79907991380401,0.775097232822133,0.72664979122595,"wt"
-6.79291487259478,0.793439305458384,0.747481612177452,"wt"
-6.80517958417517,0.757822974606233,0.706199707620885,"wt"
-6.79734565491669,0.752953919558791,0.721452300304887,"wt"
-6.80517937501935,0.757825087108484,0.706200628800435,"wt"
-6.80074215519461,0.799508593712893,0.732542726674263,"wt"
-6.79125657500488,0.770524149209387,0.741825301150336,"wt"
-6.79125700912873,0.770524050985529,0.741825195828652,"wt"
-6.80858349071694,0.807761027117058,0.717845550449874,"wt"
-6.79907999203904,0.775094251436848,0.726648464876972,"wt"
-6.79907994701565,0.775096884031407,0.726649411002022,"wt"
-6.79907996938733,0.775096153273252,0.726649218320292,"wt"
-6.80517944122164,0.757825225878563,0.70620062567271,"wt"
-6.80074207495989,0.799507629732651,0.732542325365231,"wt"
-6.80336654175622,0.736319440918238,0.701413190984931,"wt"
-6.80691892561195,0.781494516980495,0.711633884472839,"wt"
-6.80691889231306,0.781498247099386,0.711635748567984,"wt"
-6.79907998203579,0.775097024091082,0.726649697716502,"wt"
-6.78509983245462,0.789172035720778,0.762608912385906,"wt"
-6.8051791760422,0.757824373404451,0.706200233392373,"wt"
-6.80074214020324,0.799506816262686,0.732542031620556,"wt"
-6.80517944373298,0.757821916832205,0.706199069896637,"wt"
-6.80074204028837,0.79950747639258,0.732542365786741,"wt"
-6.8051797692192,0.757822068842508,0.706198902157413,"wt"
-6.8069188917348,0.781498241335262,0.71163574602319,"wt"
-6.79907987441248,0.775098049808908,0.726650064969715,"wt"
-6.79291527393042,0.793440505629849,0.747482409022668,"wt"
-6.79291510787547,0.793445075745951,0.747484574860756,"wt"
-6.7990802977498,0.775096435679824,0.726648838842922,"wt"
-6.79907980186755,0.775097627039745,0.726649877745038,"wt"
-6.80858329781615,0.807761679869999,0.71784580038825,"wt"
-6.79907972461177,0.775096013528541,0.726649113550428,"wt"
-6.80691896041397,0.781498246450851,0.711635731410977,"wt"
-6.79291519349007,0.793442878684187,0.747483489517849,"wt"
-6.80691890436995,0.781498200894751,0.711635741800489,"wt"
-6.79734588361229,0.752950364304847,0.721450497221752,"wt"
-6.80336612378256,0.736317281786648,0.701411903323006,"wt"
-6.7990797928735,0.775097651577882,0.726649821008648,"wt"
-6.80691859045448,0.78149762260591,0.711635185544626,"wt"
-6.79291516737591,0.793444004792723,0.747483968639768,"wt"
-6.78510005007382,0.789175417242066,0.762610372599869,"wt"
-6.79291498123958,0.793443979180502,0.747483783065725,"wt"
